['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
114842812 17669 28.7 33.0 2 13311 240ac48eb9d4 99 414
115842792 17658 28.8 33.0 6 13302 240ac48eb9d4 99 428
116842666 17675 28.9 33.0 1 13298 240ac48eb9d4 99 433
117842883 17670 29.0 32.9 5 13299 240ac48eb9d4 99 420
118842868 17662 29.1 32.9 3 13295 240ac48eb9d4 99 433
119843145 17669 29.1 32.9 11 13299 240ac48eb9d4 99 433
120842875 17664 29.2 32.9 9 13293 240ac48eb9d4 99 433
121842295 17662 29.2 32.9 2 13298 240ac48eb9d4 99 423
122842875 17663 29.2 32.9 10 13298 240ac48eb9d4 99 427
123842698 17662 29.4 32.9 6 13295 240ac48eb9d4 99 428
124784875 17667 30.2 32.7 -1 13297 240ac48eb9d4 99 -1
125858875 17668 30.8 32.5 0 13307 240ac48eb9d4 99 400
126842657 17670 31.0 32.5 0 13305 240ac48eb9d4 99 400
127842879 17668 31.1 32.5 0 13299 240ac48eb9d4 99 400
128842875 17667 30.8 32.5 0 13302 240ac48eb9d4 99 400
129842867 17661 30.5 32.6 0 13287 240ac48eb9d4 99 400
130842859 17661 30.3 32.7 0 13293 240ac48eb9d4 99 400
131842799 17664 30.2 32.8 0 13291 240ac48eb9d4 99 400
132842795 17665 29.9 32.8 0 13296 240ac48eb9d4 99 400
133842875 17670 29.6 32.9 0 13300 240ac48eb9d4 99 400
134842682 17668 29.3 33.0 0 13303 240ac48eb9d4 99 400
135842795 17677 29.0 33.0 0 13310 240ac48eb9d4 99 400
136842595 17676 28.8 33.1 0 13314 240ac48eb9d4 99 400
137842868 17679 28.6 33.2 0 13314 240ac48eb9d4 99 400
138842868 17680 28.5 33.2 0 13316 240ac48eb9d4 99 400
139842879 17680 28.4 33.2 0 13320 240ac48eb9d4 99 400
140842590 17682 28.3 33.1 0 13327 240ac48eb9d4 99 400
141842795 17680 28.3 33.2 0 13326 240ac48eb9d4 99 402
142842590 17679 28.3 33.2 1 13323 240ac48eb9d4 99 405
143842768 17689 28.3 33.2 0 13325 240ac48eb9d4 99 400
144842859 17690 28.3 33.2 0 13326 240ac48eb9d4 99 408
145842803 17690 28.3 33.2 0 13321 240ac48eb9d4 99 400
146842897 17688 28.2 33.2 5 13317 240ac48eb9d4 99 416
147842299 17679 28.2 33.3 9 13317 240ac48eb9d4 99 419
148842690 17679 28.3 33.2 9 13305 240ac48eb9d4 99 458
149842948 17666 29.1 33.1 27 13199 240ac48eb9d4 99 640
150842956 17655 29.6 33.1 32 13203 240ac48eb9d4 99 637
151842686 17653 29.8 33.1 42 13203 240ac48eb9d4 99 634
152842884 17650 29.8 33.1 48 13217 240ac48eb9d4 99 623
153842940 17647 29.8 33.2 45 13209 240ac48eb9d4 99 615
154842871 17645 29.7 33.2 55 13217 240ac48eb9d4 99 618
155842991 17642 29.4 33.2 53 13229 240ac48eb9d4 99 586
156842868 17641 29.1 33.2 59 13247 240ac48eb9d4 99 545
157842976 17636 28.9 33.2 55 13257 240ac48eb9d4 99 526
158842917 17649 28.8 33.2 51 13266 240ac48eb9d4 99 509
159842967 17640 28.7 33.1 54 13271 240ac48eb9d4 99 511
160842433 17646 28.8 33.1 47 13279 240ac48eb9d4 99 489
161844879 17641 28.8 33.1 50 13286 240ac48eb9d4 99 468
162842875 17641 28.8 33.0 47 13290 240ac48eb9d4 99 464
163842976 17640 28.9 33.0 50 13285 240ac48eb9d4 99 466
164842855 17647 29.1 33.0 45 13288 240ac48eb9d4 99 476
165842883 17647 29.1 33.0 45 13287 240ac48eb9d4 99 480
166842878 17646 29.0 33.0 46 13291 240ac48eb9d4 99 465
167842939 17646 29.0 33.0 46 13295 240ac48eb9d4 99 464
168842935 17647 29.1 33.1 40 13291 240ac48eb9d4 99 470
169842975 17648 29.2 33.1 43 13279 240ac48eb9d4 99 481
170842961 17652 29.2 33.2 42 13275 240ac48eb9d4 99 497
171842962 17647 29.2 33.2 44 13268 240ac48eb9d4 99 502
172842794 17646 29.1 33.2 43 13266 240ac48eb9d4 99 506
173842939 17651 29.1 33.3 44 13267 240ac48eb9d4 99 512
174842955 17640 29.0 33.3 52 13255 240ac48eb9d4 99 524
175842882 17644 29.0 33.3 47 13252 240ac48eb9d4 99 530
176842681 17639 29.0 33.3 51 13262 240ac48eb9d4 99 514
177842975 17639 28.9 33.3 59 13258 240ac48eb9d4 99 513
178842935 17642 28.8 33.3 56 13260 240ac48eb9d4 99 515
179842874 17634 28.7 33.2 49 13258 240ac48eb9d4 99 512
180842931 17638 28.7 33.2 49 13266 240ac48eb9d4 99 510
181842966 17641 28.7 33.2 51 13271 240ac48eb9d4 99 490
182842927 17635 28.7 33.3 58 13276 240ac48eb9d4 99 489
183843097 17641 28.7 33.3 51 13276 240ac48eb9d4 99 469
184842961 17637 28.6 33.4 47 13272 240ac48eb9d4 99 478
185842790 17641 28.6 33.4 60 13271 240ac48eb9d4 99 492
186842955 17627 28.6 33.4 56 13267 240ac48eb9d4 99 500
187842990 17632 28.5 33.5 55 13268 240ac48eb9d4 99 503
188842990 17637 28.5 33.4 61 13266 240ac48eb9d4 99 497
189842990 17633 28.5 33.4 59 13266 240ac48eb9d4 99 511
190842882 17634 28.6 33.3 58 13252 240ac48eb9d4 99 518
191842955 17628 28.7 33.3 61 13256 240ac48eb9d4 99 529
192842867 17635 28.6 33.3 55 13271 240ac48eb9d4 99 488
193842966 17636 28.6 33.2 55 13274 240ac48eb9d4 99 490
194842939 17636 28.7 33.2 53 13275 240ac48eb9d4 99 483
195842814 17632 28.6 33.2 57 13274 240ac48eb9d4 99 472
196842850 17633 28.6 33.2 62 13278 240ac48eb9d4 99 463
197842878 17634 28.6 33.1 53 13286 240ac48eb9d4 99 453
198842955 17638 28.6 33.0 50 13291 240ac48eb9d4 99 442
199842874 17641 28.6 33.0 58 13287 240ac48eb9d4 99 449
200842955 17640 28.5 32.9 51 13297 240ac48eb9d4 99 428
201844962 17656 28.7 33.0 43 13309 240ac48eb9d4 99 431
202842874 17645 28.8 33.0 41 13302 240ac48eb9d4 99 430
203842693 17647 28.9 33.0 49 13296 240ac48eb9d4 99 445
204842967 17643 28.8 32.9 42 13289 240ac48eb9d4 99 453
205842943 17645 28.7 33.0 43 13292 240ac48eb9d4 99 445
206842858 17648 28.6 33.0 40 13296 240ac48eb9d4 99 424
207842962 17652 28.6 32.9 46 13305 240ac48eb9d4 99 418
208842986 17656 28.5 32.8 35 13312 240ac48eb9d4 99 408
209842544 17655 28.5 32.8 33 13318 240ac48eb9d4 99 401
210842961 17656 28.6 32.9 33 13315 240ac48eb9d4 99 408
211842874 17662 28.6 32.9 27 13317 240ac48eb9d4 99 400
212842947 17661 28.6 32.8 31 13317 240ac48eb9d4 99 400
213842967 17655 28.6 32.8 30 13316 240ac48eb9d4 99 400
214842955 17662 28.7 32.8 30 13313 240ac48eb9d4 99 419
215842818 17663 28.8 32.9 31 13308 240ac48eb9d4 99 424
216842961 17663 29.0 33.0 26 13300 240ac48eb9d4 99 454
217842683 17659 29.1 33.0 25 13297 240ac48eb9d4 99 459
218842651 17663 29.1 33.0 32 13287 240ac48eb9d4 99 461
219842288 17656 29.1 33.1 33 13291 240ac48eb9d4 99 449
220842938 17661 29.1 33.1 26 13290 240ac48eb9d4 99 447
221844881 17654 29.1 33.2 33 13286 240ac48eb9d4 99 465
222842664 17653 29.1 33.2 36 13282 240ac48eb9d4 99 465
223842954 17655 29.1 33.2 32 13289 240ac48eb9d4 99 456
224842934 17655 29.1 33.2 38 13285 240ac48eb9d4 99 458
225784696 17656 29.0 33.2 -1 13289 240ac48eb9d4 99 -1
226858493 17664 28.8 33.2 0 13294 240ac48eb9d4 99 400
227842596 17653 28.8 33.2 0 13289 240ac48eb9d4 99 400
228842865 17659 28.6 33.1 0 13293 240ac48eb9d4 99 400
229842869 17653 28.6 33.2 0 13286 240ac48eb9d4 99 400
230842857 17652 28.6 33.1 0 13285 240ac48eb9d4 99 400
231842885 17649 28.4 33.1 0 13282 240ac48eb9d4 99 400
232842654 17651 28.4 33.0 0 13290 240ac48eb9d4 99 400
233842696 17649 28.3 33.0 0 13299 240ac48eb9d4 99 400
234842842 17655 28.2 33.0 0 13300 240ac48eb9d4 99 400
