['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
107931344 17584 30.7 32.1 0 13536 240ac48e2ac0 99 414
108931545 17579 30.6 32.20000000000001 1 13529 240ac48e2ac0 99 410
109931170 17587 30.5 32.3 2 13533 240ac48e2ac0 99 407
110930667 17588 30.4 32.3 3 13528 240ac48e2ac0 99 414
111931367 17587 30.4 32.3 6 13525 240ac48e2ac0 99 421
112931408 17584 30.4 32.3 10 13524 240ac48e2ac0 99 430
113930938 17585 30.4 32.3 10 13517 240ac48e2ac0 99 436
114931412 17568 30.4 32.3 20 13516 240ac48e2ac0 99 444
115931432 17570 30.4 32.4 20 13517 240ac48e2ac0 99 433
116931431 17570 30.5 32.4 16 13523 240ac48e2ac0 99 424
117931290 17575 30.5 32.3 14 13521 240ac48e2ac0 99 426
118931334 17578 30.5 32.3 21 13523 240ac48e2ac0 99 424
119931460 17569 30.5 32.3 18 13524 240ac48e2ac0 99 415
120931342 17583 30.5 32.3 9 13538 240ac48e2ac0 99 401
121931078 17575 30.5 32.3 13 13534 240ac48e2ac0 99 407
122931343 17578 30.6 32.3 0 13535 240ac48e2ac0 99 400
123931354 17585 30.6 32.3 9 13538 240ac48e2ac0 99 400
124871079 17585 30.7 32.3 -1 13536 240ac48e2ac0 99 -1
125943338 17585 30.7 32.4 0 13537 240ac48e2ac0 99 400
126931065 17585 30.6 32.4 0 13535 240ac48e2ac0 99 400
127930987 17589 30.5 32.4 0 13531 240ac48e2ac0 99 400
128931342 17582 30.4 32.5 0 13523 240ac48e2ac0 99 400
129931169 17582 30.4 32.4 0 13528 240ac48e2ac0 99 400
130931141 17581 30.3 32.5 0 13527 240ac48e2ac0 99 400
131931274 17583 30.3 32.4 0 13533 240ac48e2ac0 99 400
132931243 17588 30.2 32.4 0 13536 240ac48e2ac0 99 400
133931274 17584 29.9 32.5 0 13532 240ac48e2ac0 99 400
134931157 17584 29.7 32.4 0 13531 240ac48e2ac0 99 400
135931362 17583 29.6 32.4 0 13534 240ac48e2ac0 99 400
136931157 17589 29.6 32.3 0 13547 240ac48e2ac0 99 400
137931132 17592 29.5 32.3 0 13544 240ac48e2ac0 99 400
138931358 17587 29.6 32.3 0 13538 240ac48e2ac0 99 400
139931366 17587 29.6 32.3 0 13538 240ac48e2ac0 99 400
140931508 17589 29.8 32.20000000000001 0 13547 240ac48e2ac0 99 400
141931020 17582 30.2 32.0 4 13541 240ac48e2ac0 99 408
142931141 17591 30.5 32.0 0 13550 240ac48e2ac0 99 400
143931354 17593 30.6 31.9 1 13541 240ac48e2ac0 99 412
144931326 17587 30.8 32.0 0 13546 240ac48e2ac0 99 408
145931294 17590 30.8 32.0 1 13544 240ac48e2ac0 99 415
146931354 17590 30.9 32.0 1 13538 240ac48e2ac0 99 419
147931354 17584 31.2 31.9 9 13517 240ac48e2ac0 99 459
148931411 17572 31.6 31.8 24 13485 240ac48e2ac0 99 515
