['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
117934494 17413 35.5 31.2 27 13027 240ac48df9dc 99 575
118934242 17415 35.9 31.2 32 13031 240ac48df9dc 99 576
119934657 17412 35.4 31.2 25 13059 240ac48df9dc 99 527
120934641 17428 34.5 31.2 17 13075 240ac48df9dc 99 495
121934512 17433 33.9 31.2 11 13089 240ac48df9dc 99 454
122934573 17438 33.6 31.0 9 13100 240ac48df9dc 99 441
123934584 17443 33.9 30.9 0 13107 240ac48df9dc 99 426
124875811 17458 33.9 30.9 -1 13113 240ac48df9dc 99 -1
125948345 17461 33.8 30.9 0 13108 240ac48df9dc 99 400
126934573 17459 33.9 31.0 0 13110 240ac48df9dc 99 400
127934584 17456 33.8 31.1 0 13107 240ac48df9dc 99 400
128934564 17463 33.6 31.1 0 13105 240ac48df9dc 99 400
129934058 17464 33.4 31.2 0 13097 240ac48df9dc 99 400
130934557 17467 33.3 31.2 0 13102 240ac48df9dc 99 400
131934512 17459 33.2 31.3 0 13097 240ac48df9dc 99 400
132934504 17467 32.9 31.3 0 13106 240ac48df9dc 99 400
133934292 17471 32.6 31.3 0 13110 240ac48df9dc 99 400
134934755 17469 32.20000000000001 31.3 0 13113 240ac48df9dc 99 400
135934528 17478 32.0 31.3 0 13116 240ac48df9dc 99 400
136934573 17473 31.9 31.4 0 13119 240ac48df9dc 99 400
137934419 17479 31.7 31.4 0 13115 240ac48df9dc 99 400
138934291 17479 31.6 31.4 0 13120 240ac48df9dc 99 400
139934367 17479 31.5 31.4 0 13115 240ac48df9dc 99 400
140934573 17488 31.5 31.4 0 13109 240ac48df9dc 99 400
141934524 17478 31.5 31.4 0 13110 240ac48df9dc 99 413
142934572 17481 31.6 31.4 0 13107 240ac48df9dc 99 418
143934588 17474 31.6 31.5 5 13096 240ac48df9dc 99 436
144934645 17474 31.6 31.5 19 13093 240ac48df9dc 99 447
145934592 17464 31.6 31.5 14 13089 240ac48df9dc 99 442
146934576 17465 31.6 31.5 20 13086 240ac48df9dc 99 449
147934490 17460 31.5 31.6 22 13084 240ac48df9dc 99 454
148934588 17440 31.8 31.4 33 13005 240ac48df9dc 99 610
149934588 17428 32.9 31.4 54 12949 240ac48df9dc 99 705
150934827 17417 33.70000000000001 31.5 53 12960 240ac48df9dc 99 678
151934676 17427 33.9 31.4 59 12991 240ac48df9dc 99 630
152934840 17430 33.70000000000001 31.5 49 13021 240ac48df9dc 99 554
153934811 17437 33.3 31.6 41 13065 240ac48df9dc 99 488
154934403 17445 32.8 31.6 27 13084 240ac48df9dc 99 452
155934532 17460 32.5 31.6 20 13101 240ac48df9dc 99 412
156934573 17458 32.1 31.6 18 13112 240ac48df9dc 99 400
157934600 17470 31.9 31.7 8 13113 240ac48df9dc 99 400
158934573 17471 31.8 31.6 6 13116 240ac48df9dc 99 400
159934584 17479 31.8 31.6 3 13114 240ac48df9dc 99 400
160934581 17475 31.8 31.5 2 13107 240ac48df9dc 99 408
